;MSETrain;MSEValid
1;0,046488136;0,030753075
2;0,024243368;0,027198715
3;0,022564082;0,026261058
4;0,021903544;0,0256167
5;0,021471354;0,025154724
6;0,02116976;0,024800011
7;0,020944616;0,024510756
8;0,020764539;0,024262875
9;0,020611705;0,024042437
10;0,020476197;0,023841189
11;0,020351984;0,023653908
12;0,020235768;0,023477175
13;0,020125388;0,023308572
14;0,020019575;0,023146181
15;0,019917344;0,022988613
16;0,019818039;0,022834509
17;0,019721389;0,022683193
18;0,019626956;0,022534025
19;0,019534833;0,022386517
20;0,01944503;0,022240744
21;0,01935777;0,022096849
22;0,019273359;0,021955207
23;0,01919201;0,021816644
24;0,019114253;0,021681743
25;0,019040219;0,021551327
26;0,018970261;0,021426093
27;0,018904438;0,021306787
28;0,018842715;0,021193774
29;0,018785131;0,021087328
30;0,018731274;0,020987567
31;0,018681081;0,020894428
32;0,018634142;0,02080765
33;0,018590163;0,020726971
34;0,018549076;0,020652008
35;0,01851044;0,020582352
36;0,018474045;0,020517565
37;0,018439778;0,020457171
38;0,018407298;0,02040088
39;0,018376664;0,020348273
40;0,018347662;0,02029894
41;0,018320196;0,020252656
42;0,018294099;0,020209018
43;0,018269329;0,020167867
44;0,018245788;0,020128919
45;0,018223343;0,020091932
46;0,018202005;0,020056725
47;0,018181636;0,020023162
48;0,018162246;0,019991083
49;0,01814378;0,019960287
50;0,018125992;0,019930725
51;0,018109059;0,019902196
52;0,01809284;0,01987468
53;0,018077195;0,019847942
54;0,018062241;0,019822047
55;0,018047819;0,019796903
56;0,018033892;0,019772332
57;0,018020537;0,019748407
58;0,018007521;0,019724976
59;0,017994992;0,019702
60;0,017982812;0,019679471
61;0,017971006;0,019657324
62;0,017959475;0,019635508
63;0,017948267;0,019613998
64;0,01793729;0,019592754
65;0,017926591;0,019571762
66;0,017916113;0,019551035
67;0,017905828;0,01953046
68;0,017895699;0,019510132
69;0,017885781;0,019489901
70;0,017875939;0,019469863
71;0,01786619;0,019449972
72;0,017856581;0,019430208
73;0,017847066;0,019410551
74;0,017837662;0,019390986
75;0,017828338;0,019371582
76;0,017819019;0,019352217
77;0,017809743;0,019332969
78;0,017800501;0,019313776
79;0,017791361;0,019294705
80;0,017782114;0,019275733
81;0,017772959;0,019256774
82;0,01776376;0,019237949
83;0,017754581;0,019219183
84;0,017745367;0,019200509
85;0,017736134;0,01918188
86;0,017726915;0,019163414
87;0,017717626;0,019144998
88;0,017708354;0,019126679
89;0,017698943;0,019108472
90;0,017689544;0,019090311
91;0,017680114;0,019072306
92;0,017670598;0,019054397
93;0,01766101;0,019036582
94;0,017651349;0,019018909
95;0,017641633;0,019001335
96;0,017631858;0,018983866
97;0,017622042;0,0189665
98;0,017612082;0,018949253
99;0,017602027;0,018932156
100;0,017591906;0,018915147
101;0,017581632;0,018898235
102;0,017571348;0,018881495
103;0,017560893;0,018864816
104;0,017550327;0,018848255
105;0,017539577;0,018831807
106;0,017528814;0,018815459
107;0,017517928;0,01879922
108;0,017506819;0,01878305
109;0,017495644;0,01876697
110;0,017484351;0,018751004
111;0,017472917;0,018735165
112;0,017461341;0,018719335
113;0,017449655;0,018703633
114;0,017437838;0,018688044
115;0,017425904;0,018672464
116;0,017413839;0,018657027
117;0,017401689;0,018641623
118;0,017389458;0,01862634
119;0,017377195;0,018611157
120;0,017364845;0,01859607
121;0,017352368;0,018581105
122;0,01734;0,018566273
123;0,017327471;0,018551521
124;0,01731504;0,018536904
125;0,017302613;0,01852246
126;0,017290238;0,018508162
127;0,017277848;0,018494026
128;0,017265624;0,018480087
129;0,017253393;0,018466265
130;0,017241266;0,018452694
131;0,01722929;0,01843932
132;0,017217424;0,01842615
133;0,017205656;0,018413199
134;0,017194057;0,018400502
135;0,017182583;0,018388067
136;0,017171252;0,018375749
137;0,017160064;0,018363794
138;0,017149072;0,018352016
139;0,01713824;0,018340506
140;0,017127533;0,01832923
141;0,01711704;0,018318203
142;0,01710666;0,018307376
143;0,01709648;0,018296826
144;0,01708644;0,018286505
145;0,017076522;0,018276405
146;0,017066819;0,018266544
147;0,017057301;0,018256853
148;0,017047893;0,018247425
149;0,017038597;0,018238151
150;0,017029426;0,018229115
151;0,017020472;0,018220246
152;0,017011633;0,018211543
153;0,017002987;0,01820302
154;0,016994339;0,018194737
155;0,016985913;0,018186554
156;0,016977599;0,018178519
157;0,016969386;0,018170657
158;0,016961297;0,018162935
159;0,016953296;0,0181554
160;0,01694544;0,018147986
161;0,016937637;0,018140677
162;0,016929908;0,018133489
163;0,016922405;0,018126448
164;0,016914936;0,018119521
165;0,016907581;0,018112744
166;0,016900282;0,018106026
167;0,01689311;0,018099484
168;0,016886001;0,018093026
169;0,016878919;0,018086685
170;0,016871968;0,018080411
171;0,016865094;0,018074262
172;0,016858308;0,018068224
173;0,016851617;0,018062241
174;0,016844948;0,018056411
175;0,016838431;0,018050676
176;0,016831868;0,018044973
177;0,01682543;0,018039411
178;0,016819039;0,01803395
179;0,01681274;0,018028562
180;0,016806464;0,018023249
181;0,016800257;0,018018031
182;0,016794061;0,018012946
183;0,016788007;0,018007875
184;0,016781951;0,018002958
185;0,016775912;0,017998103
186;0,016770005;0,017993349
187;0,016764178;0,017988641
188;0,016758237;0,017984081
189;0,016752458;0,01797959
190;0,016746745;0,017975223
191;0,016740958;0,017970883
192;0,016735337;0,017966633
193;0,016729703;0,01796251
194;0,016724082;0,017958463
195;0,016718556;0,017954493
196;0,016713013;0,017950626
197;0,016707526;0,01794686
198;0,016702064;0,017943157
199;0,016696656;0,017939568
200;0,016691241;0,017936065
201;0,016685927;0,017932656
202;0,016680602;0,017929345
203;0,016675273;0,017926116
204;0,016670012;0,017922998
205;0,016664767;0,017920009
206;0,01665955;0,017917046
207;0,016654422;0,017914225
208;0,016649225;0,017911503
209;0,016644111;0,017908895
210;0,016639023;0,017906338
211;0,016633917;0,017903895
212;0,016628885;0,017901563
213;0,016623882;0,017899346
214;0,016618874;0,017897195
215;0,016613876;0,017895202
216;0,016608956;0,017893257
217;0,016603977;0,017891381
218;0,016599109;0,01788966
219;0,016594214;0,017887989
220;0,016589351;0,017886431
221;0,016584571;0,017884998
222;0,016579807;0,017883597
223;0,016574988;0,017882298
224;0,016570275;0,017881111
225;0,016565555;0,01787998
226;0,016560835;0,017878962
227;0,016556189;0,017878036
228;0,0165516;0,017877157
229;0,016546967;0,017876328
230;0,016542385;0,017875588
231;0,016537865;0,017874944
232;0,016533348;0,017874363
233;0,016528862;0,017873821
234;0,016524401;0,017873334
235;0,016520012;0,017872908
236;0,016515582;0,017872497
237;0,016511281;0,017872172
238;0,016506945;0,017871851
239;0,01650263;0,017871562
240;0,016498415;0,017871342
241;0,016494236;0,017871099
242;0,016490012;0,017870961
243;0,016485849;0,017870786
244;0,016481718;0,017870638
245;0,016477639;0,017870469
246;0,016473625;0,017870329
247;0,01646955;0,01787018
248;0,016465581;0,017870049
249;0,016461621;0,017869911
250;0,016457713;0,01786971
251;0,016453795;0,017869579
252;0,016449896;0,017869385
253;0,016446104;0,017869207
254;0,01644225;0,01786901
255;0,016438567;0,017868761
256;0,016434803;0,01786852
257;0,01643106;0,017868248
258;0,016427413;0,017867939
259;0,016423768;0,017867603
260;0,016420146;0,017867296
261;0,016416527;0,017866866
262;0,016413025;0,017866429
263;0,016409454;0,017865987
264;0,016405981;0,017865511
265;0,016402513;0,017865025
266;0,016399057;0,017864494
267;0,016395656;0,017863876
268;0,016392305;0,017863246
269;0,016388928;0,017862602
270;0,016385562;0,017861922
